"IDS","NAME","LONGITUDE","LATITUDE","NEAREST_LINE_ID","COMID","ARBOLATESU","SNAP_DIST","DISTFROMNODE","DISTTONODE","DIST_FROMHWKM","GEOMETRY","POINTTYPE"
"Point.854","CO00614 PITCAIRNE #1",-108.1155,38.9099,3232639,3232639,4.027,150.924661835149,158.733012681496,34.2112416850802,3.99278875831492,"c(750223.664945377, 4310836.94720634)","dam"
"Point.855","CO00718 GRANBY #7",-108.0455,38.9933,3230945,3230945,2.487,294.249196347916,402.412035751493,1492.29263405324,0.994707365946761,"c(755605.524623472, 4320089.3505817)","dam"
"Point.856","CO00716 SCHOLL",-106.2005,40.1366,1231449,1231449,16.437,34.7291927497575,333.756677271079,174.329157344371,16.2626708426556,"c(908919.435691125, 4453993.83234954)","dam"
"Point.857","NM00302 FARMINGTON LAKE DAM",-108.103,36.7942,17015637,17015637,8.985,267.263715033916,520.484263169806,534.276230066736,8.45072376993326,"c(758362.541029737, 4075722.68991078)","dam"
"Point.858","NM00285 ASAAYI",-108.9312,35.9772,20564749,20564749,40.149,101.66132952463,749.444001416684,51.9841818704473,40.0970158181296,"c(686453.792612057, 3983473.40723045)","dam"
"Point.859","NM00583 EL PASO NATURAL GAS DAM NO. 5",-108.3736,36.7499,17003222,17003222,23.325,552.302968011513,2172.5030376315,1413.88785539992,21.9111121446001,"c(733923.494639772, 4070294.04390595)","dam"
"Point.860","WY01195 BOULDER LAKE",-109.7047,42.8363,18332136,18332136,283.448,59.9842145073017,6624.02306988915,78.2423447312285,283.369757655269,"c(605848.872536425, 4743509.32360239)","dam"
"Point.861","CO00581 KISER",-107.9305,39.0349,3230581,3230581,2.042,46.9470183899544,75.4339340489337,288.044130104414,1.75395586989559,"c(765697.308226735, 4325087.77132171)","dam"
"Point.862","AZ10415 BOOTLEG",-109.9304,34.076,21734180,21734180,11.575,38.7770674226648,9.25996005250964,3705.68404291658,7.86931595708342,"c(598710.878403495, 3771131.16258651)","dam"
"Point.863","AZ10431 CYCLONE",-109.737,34.0155,20486526,20486526,12.594,3.63709227889694,329.610774147443,4.83769400098282,12.589162305999,"c(616614.161891638, 3764592.79588428)","dam"
"Point.864","AZ10425 RESERVATION",-109.5038,33.8405,20495223,20495223,15.221,34.6340696844815,398.394384107282,0.818484547220407,15.2201815154528,"c(638439.971494582, 3745443.66522644)","dam"
"Point.865","AZ20000 ANTELOPE DETENTION DAM",-112.99,36.59,20656802,20656802,40.095,227.059722728183,4524.30511880916,2732.33254843407,37.3626674515659,"c(321767.290604346, 4051311.12475001)","dam"
"Point.866","AZ10427 CHRISTMAS TREE",-109.7364,33.9101,20487846,20487846,17.137,62.7407377427051,0,660.920134844317,16.4760798651557,"c(616770.898672906, 3752864.3928428)","dam"
"Point.867","AZ00027 FLORENCE RETARDING",-111.3522,33.0308,21271810,21271810,53.447,134.542303483899,2323.83447519153,0,53.447,"c(467120.785864474, 3654890.67808731)","dam"
"Point.868","AZ00050 KINO SPRINGS",-110.8566,31.3769,15907865,15907865,635.693,457.148973884874,1364.65307516715,817.025669308941,634.875974330691,"c(513505.657203404, 3471820.29014968)","dam"
"Point.869","CO00871 UPPER BLUE",-106.1011,39.3852,1314795,1314795,3.509,5.88298602236986,810.97342920392,27.2579168572333,3.48174208314277,"c(921996.818444664, 4370981.15471127)","dam"
"Point.870","CO01675 BLUE MESA",-107.3342,38.4533,3253131,3253131,4780.669,10.4956147985989,16.1610244503695,284.221516457569,4780.38477848354,"c(819901.912223018, 4262490.21571302)","dam"
"Point.871","CO02586 HARTMAN #2 POND",-106.3172,40.0966,1231717,1231717,8.411,55.6448953779354,297.642823425188,474.757284770958,7.93624271522904,"c(899254.824627736, 4449051.72881581)","dam"
"Point.872","CO00663 GOOSE PASTURE TARN",-106.0322,39.4549,1314651,1314651,59.807,97.8650890456917,161.328751394365,3085.52990353057,56.7214700964694,"c(927557.140667329, 4379136.62010318)","dam"
"Point.873","CO01031 UPPER STILLWATER",-107.0724,40.0441,1356770,1356770,27.615,11.4080052394407,44.4132172047811,662.990752739295,26.9520092472607,"c(835091.402971615, 4440058.54378555)","dam"
"Point.874","CO01012 HAYDEN RAW WATER PONDS",-107.1772,40.4833,120299723,120299723,38.036,523.525416176853,1958.25729553985,1524.29215352952,36.5117078464705,"c(824530.89239772, 4488245.50412311)","dam"
